,,,,PRODUCTO,,,,,,,,COSTO,,,,PRECIO,,,PROYECCION,,,,,,,VENTA REAL,,,,
,OK,HAOCHENG,02/12/2024,02/12/2024,ANILLO CENTRO,ACERO,MUJER,PLATA,25,$0.20,$0.08,$0.05,,$25.33,$126.65,120,,$25.33,$47.34,,,,,,,$25.33,-$12.67,-$3.80,-$8.87,$0.00
,OK,HAOCHENG,02/12/2024,02/12/2024,ANILLO CENTRO,ACERO,MUJER,PLATA,25,$0.20,$0.08,$0.05,,$25.33,$126.65,120,,$25.33,$47.34,,,,,,,$25.33,-$12.67,-$3.80,-$8.87,$0.00
,OK,HAOCHENG,02/12/2024,02/12/2024,ANILLO CENTRO,ACERO,MUJER,PLATA,25,$0.20,$0.08,$0.05,,$25.33,$126.65,120,,$25.33,$47.34,,,,,,,$25.33,-$12.67,-$3.80,-$8.87,$0.00
,OK,HAOCHENG,02/12/2024,02/12/2024,ANILLO CENTRO,ACERO,MUJER,PLATA,25,$0.20,$0.08,$0.05,,$25.33,$126.65,120,,$25.33,$47.34,,,,,,,$25.33,-$12.67,-$3.80,-$8.87,$0.00
,OK,HAOCHENG,02/12/2024,02/12/2024,ANILLO CENTRO,ACERO,MUJER,PLATA,25,$0.20,$0.08,$0.05,,$25.33,$126.65,120,,$25.33,$47.34,,,,,,,$25.33,-$12.67,-$3.80,-$8.87,$0.00
,OK,HAOCHENG,02/12/2024,02/12/2024,ANILLO CENTRO,ACERO,MUJER,PLATA,25,$0.20,$0.08,$0.05,,$25.33,$126.65,120,,$25.33,$47.34,,,,,,,$25.33,-$12.67,-$3.80,-$8.87,$0.00
,OK,HAOCHENG,02/12/2024,02/12/2024,ANILLO CENTRO,ACERO,MUJER,PLATA,25,$0.20,$0.08,$0.05,,$25.33,$126.65,120,,$25.33,$47.34,,,,,,,$25.33,-$12.67,-$3.80,-$8.87,$0.00
,OK,HAOCHENG,02/12/2024,02/12/2024,ANILLO CENTRO,ACERO,MUJER,PLATA,25,$0.20,$0.08,$0.05,,$25.33,$126.65,120,,$25.33,$47.34,,,,,,,$25.33,-$12.67,-$3.80,-$8.87,$0.00
,OK,HAOCHENG,02/12/2024,02/12/2024,ANILLO CENTRO,ACERO,MUJER,PLATA,25,$0.20,$0.08,$0.05,,$25.33,$126.65,120,,$25.33,$47.34,,,,,,,$25.33,-$12.67,-$3.80,-$8.87,$0.00
,OK,HAOCHENG,02/12/2024,02/12/2024,ANILLO CENTRO,ACERO,MUJER,PLATA,25,$0.20,$0.08,$0.05,,$25.33,$126.65,120,,$25.33,$47.34,,,,,,,$25.33,-$12.67,-$3.80,-$8.87,$0.00
,OK,HAOCHENG,02/12/2024,02/12/2024,ANILLO CENTRO,ACERO,MUJER,PLATA,25,$0.20,$0.08,$0.05,,$25.33,$126.65,120,,$25.33,$47.34,,,,,,,$25.33,-$12.67,-$3.80,-$8.87,$0.00
,OK,HAOCHENG,02/12/2024,02/12/2024,ANILLO CENTRO,ACERO,MUJER,PLATA,25,$0.20,$0.08,$0.05,,$25.33,$126.65,120,,$25.33,$47.34,,,,,,,$25.33,-$12.67,-$3.80,-$8.87,$0.00
,OK,HAOCHENG,02/12/2024,02/12/2024,ANILLO CENTRO,ACERO,MUJER,PLATA,25,$0.20,$0.08,$0.05,,$25.33,$126.65,120,,$25.33,$47.34,,,,,,,$25.33,-$12.67,-$3.80,-$8.87,$0.00
,OK,HAOCHENG,02/12/2024,02/12/2024,ANILLO CENTRO,ACERO,MUJER,PLATA,25,$0.20,$0.08,$0.05,,$25.33,$126.65,120,,$25.33,$47.34,,,,,,,$25.33,-$12.67,-$3.80,-$8.87,$0.00
,OK,HAOCHENG,02/12/2024,02/12/2024,ANILLO CENTRO,ACERO,MUJER,PLATA,25,$0.20,$0.08,$0.05,,$25.33,$126.65,120,,$25.33,$47.34,,,,,,,$25.33,-$12.67,-$3.80,-$8.87,$0.00
,OK,HAOCHENG,02/12/2024,02/12/2024,ANILLO CENTRO,ACERO,MUJER,PLATA,25,$0.20,$0.08,$0.05,,$25.33,$126.65,120,,$25.33,$47.34,,,,,,,$25.33,-$12.67,-$3.80,-$8.87,$0.00
,OK,HAOCHENG,02/12/2024,02/12/2024,ANILLO CENTRO,ACERO,MUJER,PLATA,25,$0.20,$0.08,$0.05,,$25.33,$126.65,120,,$25.33,$47.34,,,,,,,$25.33,-$12.67,-$3.80,-$8.87,$0.00
,OK,HAOCHENG,02/12/2024,02/12/2024,ANILLO CENTRO,ACERO,MUJER,PLATA,25,$0.20,$0.08,$0.05,,$25.33,$126.65,120,,$25.33,$47.34,,,,,,,$25.33,-$12.67,-$3.80,-$8.87,$0.00
,OK,HAOCHENG,02/12/2024,02/12/2024,ANILLO CENTRO,ACERO,MUJER,PLATA,25,$0.20,$0.08,$0.05,,$25.33,$126.65,120,,$25.33,$47.34,,,,,,,$25.33,-$12.67,-$3.80,-$8.87,$0.00
MXNH36560518,OK,NIHAOJEWELRY,10/12/2024,16/12/2024,TREBOL NEGRO,ACERO,MUJER,ORO,$27.67,$0.20,$0.08,$0.05,,$28.00,$140.00,120,,$28.00,$46.00,,,,,,,$28.00,-$14.00,-$4.20,-$9.80,$0.00
MXNH40510268,OK,NIHAOJEWELRY,10/12/2024,16/12/2024,TREBOL NEGRO NO AJUSTABLE,ACERO,MUJER,ORO,$29.37,$0.20,$0.08,$0.05,,$29.70,$148.50,120,,$29.70,$45.15,,,,29/05/2025,FARO,130,$29.70,$50.15,$15.05,$35.11,$130.00
MXNH37362928,OK,NIHAOJEWELRY,14/12/2024,19/12/2024,TORTUGA,ACERO,MUJER,ORO,$19.90,$0.20,$0.08,$0.05,,$20.23,$101.15,120,,$20.23,$49.89,,,,24/05/2025,CRITERIUM,130,$20.23,$54.89,$16.47,$38.42,$130.00
MXNH40907703,OK,NIHAOJEWELRY,14/12/2024,19/12/2024,HOJAS SEGUIDAS DE COLORES,ACERO,MUJER,ORO,$17.23,$0.20,$0.08,$0.05,,$17.56,$87.80,120,,$17.56,$51.22,,,,,,,$17.56,-$8.78,-$2.63,-$6.15,$0.00
MXNH40907703,OK,NIHAOJEWELRY,14/12/2024,19/12/2024,HOJAS SEGUIDAS DE COLORES,ACERO,MUJER,ORO,$17.23,$0.20,$0.08,$0.05,,$17.56,$87.80,120,,$17.56,$51.22,,,,,,,$17.56,-$8.78,-$2.63,-$6.15,$0.00
MXNH40907703,OK,NIHAOJEWELRY,14/12/2024,19/12/2024,HOJAS SEGUIDAS DE COLORES,ACERO,MUJER,ORO,$17.23,$0.20,$0.08,$0.05,,$17.56,$87.80,120,,$17.56,$51.22,,,,,,,$17.56,-$8.78,-$2.63,-$6.15,$0.00
MX39825895,OK,NIHAOJEWELRY,14/12/2024,19/12/2024,SOL CENTRO NEGRO,ACERO,MUJER,ORO,$20.63,$0.20,$0.08,$0.05,,$20.96,$104.80,120,,$20.96,$49.52,,,,,,,$20.96,-$10.48,-$3.14,-$7.34,$0.00
MX39825895,OK,NIHAOJEWELRY,14/12/2024,19/12/2024,SOL CENTRO NEGRO,ACERO,MUJER,ORO,$20.63,$0.20,$0.08,$0.05,,$20.96,$104.80,120,,$20.96,$49.52,,,,,,,$20.96,-$10.48,-$3.14,-$7.34,$0.00
MX30047165,OK,NIHAOJEWELRY,14/12/2024,19/12/2024,ANSIEDAD ABIERTO,ACERO,MUJER,PLATA,$9.47,$0.20,$0.08,$0.05,,$9.80,$49.00,120,,$9.80,$55.10,,,,,,,$9.80,-$4.90,-$1.47,-$3.43,$0.00
MX30047165,PENDIENTE,NIHAOJEWELRY,14/12/2024,19/12/2024,ANSIEDAD ABIERTO,ACERO,MUJER,PLATA,$9.47,$0.20,$0.08,$0.05,,$9.80,$49.00,120,,$9.80,$55.10,,,,,,,$9.80,-$4.90,-$1.47,-$3.43,$0.00
MX35558762,OK,NIHAOJEWELRY,14/12/2024,19/12/2024,CORAZON NEGRO,ACERO,MUJER,ORO,$23.54,$0.20,$0.08,$0.05,,$23.87,$119.35,120,,$23.87,$48.07,,,,,,,$23.87,-$11.94,-$3.58,-$8.35,$0.00
MX37058577,OK,NIHAOJEWELRY,14/12/2024,19/12/2024,CORAZONES BLANCO Y NEGRO,ACERO,MUJER,ORO,$25.49,$0.20,$0.08,$0.05,,$25.82,$129.10,120,,$25.82,$47.09,,,,,,,$25.82,-$12.91,-$3.87,-$9.04,$0.00
MXNH40475150,PENDIENTE,NIHAOJEWELRY,14/12/2024,19/12/2024,LINEAS ARRIBA Y ABAJO,ACERO,MUJER,ORO,$17.72,$0.20,$0.08,$0.05,,$18.05,$90.25,120,,$18.05,$50.98,,,,,,,$18.05,-$9.03,-$2.71,-$6.32,$0.00
MX35128659,OK,NIHAOJEWELRY,14/12/2024,19/12/2024,FLOR HUECA,ACERO,MUJER,ORO,$16.99,$0.20,$0.08,$0.05,,$17.32,$86.60,120,,$17.32,$51.34,,,,,,,$17.32,-$8.66,-$2.60,-$6.06,$0.00
MXNH33097590,OK,NIHAOJEWELRY,14/12/2024,19/12/2024,LISO ANCHO CON LINEAS,ACERO,MUJER,ORO,$16.99,$0.20,$0.08,$0.05,,$17.32,$86.60,120,,$17.32,$51.34,,,,,,,$17.32,-$8.66,-$2.60,-$6.06,$0.00
MXNH40475147,OK,NIHAOJEWELRY,14/12/2024,19/12/2024,ONDAS PEGADAS HACIA ARRIBA,ACERO,MUJER,PLATA,$11.41,$0.20,$0.08,$0.05,,$11.74,$58.70,120,,$11.74,$54.13,,,,,,,$11.74,-$5.87,-$1.76,-$4.11,$0.00
MXNH36972420|Oro|Talla Única|Estilo de la flor,OK,NIHAOJEWELRY,03/01/2025,07/01/2024,LISO CON FLOR COLGANDO,ACERO,MUJER,ORO,$26.83,$0.20,$0.08,$0.05,,$27.16,$135.80,120,,$27.16,$46.42,,,,,,,$27.16,-$13.58,-$4.07,-$9.51,$0.00
MXNH36972420|Oro|Talla Única|Estilo de la flor,OK,NIHAOJEWELRY,03/01/2025,07/01/2024,LISO CON FLOR COLGANDO,ACERO,MUJER,ORO,$26.83,$0.20,$0.08,$0.05,,$27.16,$135.80,120,,$27.16,$46.42,,,,,,,$27.16,-$13.58,-$4.07,-$9.51,$0.00
MXNH36972420|Oro|Talla Única|Estilo de la flor,OK,NIHAOJEWELRY,03/01/2025,07/01/2024,LISO CON FLOR COLGANDO,ACERO,MUJER,ORO,$26.83,$0.20,$0.08,$0.05,,$27.16,$135.80,120,,$27.16,$46.42,,,,,,,$27.16,-$13.58,-$4.07,-$9.51,$0.00
MXNH37365745|Caqui|Talla Única,OK,NIHAOJEWELRY,03/01/2025,07/01/2024,CAROLINA HERRERA,ACERO,MUJER,ORO,$30.10,$0.20,$0.08,$0.05,,$30.43,$152.15,120,,$30.43,$44.79,,,,,,,$30.43,-$15.22,-$4.56,-$10.65,$0.00
MXNH38936427|Oro|Ajustable,OK,NIHAOJEWELRY,03/01/2025,07/01/2024,DOS CORAZONES QUE SE ENCUENTRAN,ACERO,MUJER,ORO,$16.99,$0.20,$0.08,$0.05,,$17.32,$86.60,120,,$17.32,$51.34,,,,,,,$17.32,-$8.66,-$2.60,-$6.06,$0.00
MXNH38936427|Oro|Ajustable,OK,NIHAOJEWELRY,03/01/2025,07/01/2024,DOS CORAZONES QUE SE ENCUENTRAN,ACERO,MUJER,ORO,$16.99,$0.20,$0.08,$0.05,,$17.32,$86.60,120,,$17.32,$51.34,,,,,,,$17.32,-$8.66,-$2.60,-$6.06,$0.00
MX39098806|Anillo de oro,OK,NIHAOJEWELRY,03/01/2025,07/01/2025,DOS CURVAS ALTAS CON FLORES,ACERO,MUJER,ORO,$17.72,$0.20,$0.08,$0.05,,$18.05,$90.25,120,,$18.05,$50.98,,,,,,,$18.05,-$9.03,-$2.71,-$6.32,$0.00
MX39098806|Anillo de oro,PENDIENTE,NIHAOJEWELRY,03/01/2025,07/01/2025,DOS CURVAS ALTAS CON FLORES,ACERO,MUJER,ORO,$17.72,$0.20,$0.08,$0.05,,$18.05,$90.25,120,,$18.05,$50.98,,,,,,,$18.05,-$9.03,-$2.71,-$6.32,$0.00
MX37194697|JR416-S7|Ajustable,OK,NIHAOJEWELRY,03/01/2025,07/01/2024,OVALO DOBLADO CON PUNTOS,ACERO,MUJER,PLATA,$11.17,$0.20,$0.08,$0.05,,$11.50,$57.50,120,,$11.50,$54.25,,,,,,,$11.50,-$5.75,-$1.73,-$4.03,$0.00
MXNH40522426|Multicolor|Estilo 1,OK,NIHAOJEWELRY,03/01/2025,07/01/2024,OJO TURCO AZUL,ACERO,MUJER,ORO,$23.79,$0.20,$0.08,$0.05,,$24.12,$120.60,120,,$24.12,$47.94,,,,,,,$24.12,-$12.06,-$3.62,-$8.44,$0.00
MXNH36972421|Oro|Talla Única|Ojo,OK,NIHAOJEWELRY,03/01/2025,07/01/2024,OJO TURCO COLGANDO,ACERO,MUJER,ORO,$32.53,$0.20,$0.08,$0.05,,$32.86,$164.30,120,,$32.86,$43.57,,,,,,,$32.86,-$16.43,-$4.93,-$11.50,$0.00
MXNH36972421|Oro|Talla Única|Ojo,OK,NIHAOJEWELRY,03/01/2025,07/01/2024,OJO TURCO COLGANDO,ACERO,MUJER,ORO,$32.53,$0.20,$0.08,$0.05,,$32.86,$164.30,120,,$32.86,$43.57,,,,,,,$32.86,-$16.43,-$4.93,-$11.50,$0.00
MX37194643|JR424-S7|Ajustable,OK,NIHAOJEWELRY,03/01/2025,07/01/2024,BOLITAS CON BRILLANTE,ACERO,MUJER,PLATA,$14.81,$0.20,$0.08,$0.05,,$15.14,$75.70,120,,$15.14,$52.43,,,,,,,$15.14,-$7.57,-$2.27,-$5.30,$0.00
MXNH33097590|Anillo de cara ancha-ZN101G,OK,NIHAOJEWELRY,03/01/2025,07/01/2024,LISO ANCHO CON LINEAS,ACERO,MUJER,ORO,$16.99,$0.20,$0.08,$0.05,,$17.32,$86.60,120,,$17.32,$51.34,,,,,,,$17.32,-$8.66,-$2.60,-$6.06,$0.00
MX33724778|Anillo de oro 027,OK,NIHAOJEWELRY,03/01/2025,07/01/2024,TREBOLES SEGUIDOS,ACERO,MUJER,ORO,$19.17,$0.20,$0.08,$0.05,,$19.50,$97.50,120,,$19.50,$50.25,,,,,,,$19.50,-$9.75,-$2.93,-$6.83,$0.00
MX33724778|Anillo de oro 027,OK,NIHAOJEWELRY,03/01/2025,07/01/2024,TREBOLES SEGUIDOS,ACERO,MUJER,ORO,$19.17,$0.20,$0.08,$0.05,,$19.50,$97.50,120,,$19.50,$50.25,,,,,,,$19.50,-$9.75,-$2.93,-$6.83,$0.00
MX33724779|Anillo de acero 027,OK,NIHAOJEWELRY,03/01/2025,07/01/2024,TREBOLES SEGUIDOS,ACERO,MUJER,PLATA,$15.29,$0.20,$0.08,$0.05,,$15.62,$78.10,120,,$15.62,$52.19,,,,,,,$15.62,-$7.81,-$2.34,-$5.47,$0.00
MX33724779|Anillo de acero 027,OK,NIHAOJEWELRY,03/01/2025,07/01/2024,TREBOLES SEGUIDOS,ACERO,MUJER,PLATA,$15.29,$0.20,$0.08,$0.05,,$15.62,$78.10,120,,$15.62,$52.19,,,,,,,$15.62,-$7.81,-$2.34,-$5.47,$0.00
MXNH38869034|Anillo de oro,OK,NIHAOJEWELRY,03/01/2025,07/01/2024,LINEAS VERTICALES BOMBACHAS,ACERO,MUJER,ORO,$18.93,$0.20,$0.08,$0.05,,$19.26,$96.30,120,,$19.26,$50.37,,,,,,,$19.26,-$9.63,-$2.89,-$6.74,$0.00
MXNHWZ1857158-gold-10th|Oro|N. ° 10,OK,NIHAOJEWELRY,03/01/2025,07/01/2024,LISO SENCILLO,ACERO,HOMBRE,ORO,$5.51,$0.20,$0.08,$0.05,,$5.84,$29.20,120,,$5.84,$57.08,,,,18/05/2025,MULTI,100,$5.84,$47.08,$14.12,$32.96,$100.00
MXNHWZ1857158-gold-10th|Oro|N. ° 10,OK,NIHAOJEWELRY,03/01/2025,07/01/2024,LISO SENCILLO,ACERO,HOMBRE,ORO,$5.51,$0.20,$0.08,$0.05,,$5.84,$29.20,120,,$5.84,$57.08,,,,,,,$5.84,-$2.92,-$0.88,-$2.04,$0.00
MXNHWZ1857160-gold-12th|Oro|N. ° 12,OK,NIHAOJEWELRY,03/01/2025,07/01/2024,LISO SENCILLO,ACERO,HOMBRE,ORO,$5.34,$0.20,$0.08,$0.05,,$5.67,$28.35,120,,$5.67,$57.17,,,,,,,$5.67,-$2.84,-$0.85,-$1.98,$0.00
MX33489434|HF-J1396-Oro|Apertura ajustable,PENDIENTE,NIHAOJEWELRY,03/01/2025,07/01/2024,FLORES SEGUIDAS,ACERO,MUJER,ORO,$24.27,$0.20,$0.08,$0.05,,$24.60,$123.00,120,,$24.60,$47.70,,,,,,,$24.60,-$12.30,-$3.69,-$8.61,$0.00
MX33851180|Anillo de oro 260,OK,NIHAOJEWELRY,03/01/2025,07/01/2024,ESTRELLITA CON BOLITAS,ACERO,MUJER,ORO,$21.36,$0.20,$0.08,$0.05,,$21.69,$108.45,120,,$21.69,$49.16,,,,,,,$21.69,-$10.85,-$3.25,-$7.59,$0.00
MXNH40585673|Costuras de oro y plata|Talla Única|Piezas,ROTA,NIHAOJEWELRY,03/01/2025,07/01/2024,ESTRELLA DE MAR GRANDE BICOLOR,ACERO,MUJER,BICOLOR,$45.88,$0.20,$0.08,$0.05,,$46.21,$231.05,120,,$46.21,$36.90,,,,,,,$46.21,-$23.11,-$6.93,-$16.17,$0.00
MX37058577|Amor en forma de corazón anillo 2,OK,NIHAOJEWELRY,03/01/2025,07/01/2024,CORAZONES BLANCO Y NEGRO,ACERO,MUJER,ORO,$25.49,$0.20,$0.08,$0.05,,$25.82,$129.10,120,,$25.82,$47.09,,,,,,,$25.82,-$12.91,-$3.87,-$9.04,$0.00
MX37058577|Amor en forma de corazón anillo 2,OK,NIHAOJEWELRY,03/01/2025,07/01/2024,CORAZONES BLANCO Y NEGRO,ACERO,MUJER,ORO,$25.49,$0.20,$0.08,$0.05,,$25.82,$129.10,120,,$25.82,$47.09,,,,,,,$25.82,-$12.91,-$3.87,-$9.04,$0.00
MX34630013|Plata|Ajustable,OK,NIHAOJEWELRY,03/01/2025,07/01/2024,CORAZONES SEGUIDOS HUECOS,ACERO,MUJER,PLATA,$9.41,$0.20,$0.08,$0.05,,$9.74,$48.70,120,,$9.74,$55.13,,,,24/05/2025,CRITERIUM,130,$9.74,$60.13,$18.04,$42.09,$130.00
MX34630013|Plata|Ajustable,OK,NIHAOJEWELRY,03/01/2025,07/01/2024,CORAZONES SEGUIDOS HUECOS,ACERO,MUJER,PLATA,$9.41,$0.20,$0.08,$0.05,,$9.74,$48.70,120,,$9.74,$55.13,,,,29/05/2025,FARO,130,$9.74,$60.13,$18.04,$42.09,$130.00
MX40826651|Anillo abierto oso dorado,OK,NIHAOJEWELRY,03/01/2025,07/01/2024,OSITO,ACERO,MUJER,ORO,$27.91,$0.20,$0.08,$0.05,,$28.24,$141.20,120,,$28.24,$45.88,,,,,,,$28.24,-$14.12,-$4.24,-$9.88,$0.00
MX40826651|Anillo abierto oso dorado,OK,NIHAOJEWELRY,03/01/2025,07/01/2024,OSITO,ACERO,MUJER,ORO,$27.91,$0.20,$0.08,$0.05,,$28.24,$141.20,120,,$28.24,$45.88,,,,,,,$28.24,-$14.12,-$4.24,-$9.88,$0.00
MXNH30315707|Plata|Apertura ajustable,OK,NIHAOJEWELRY,03/01/2025,07/01/2024,PLUMAS QUE SE ENCUENTRAN,ACERO,MUJER,ORO,$12.14,$0.20,$0.08,$0.05,,$12.47,$62.35,120,,$12.47,$53.77,,,,21/05/2025,FARO,130,$12.47,$58.77,$17.63,$41.14,$130.00
MXNH40245898|Plata|Flor de cinco pétalos,OK,NIHAOJEWELRY,03/01/2025,07/01/2024,FLORES IRREGULARES SEGUIDAS,ACERO,MUJER,PLATA,$20.15,$0.20,$0.08,$0.05,,$20.48,$102.40,120,,$20.48,$49.76,,,,,,,$20.48,-$10.24,-$3.07,-$7.17,$0.00
MXNH40245898|Plata|Flor de cinco pétalos,OK,NIHAOJEWELRY,03/01/2025,07/01/2024,FLORES IRREGULARES SEGUIDAS,ACERO,MUJER,PLATA,$20.15,$0.20,$0.08,$0.05,,$20.48,$102.40,120,,$20.48,$49.76,,,,,,,$20.48,-$10.24,-$3.07,-$7.17,$0.00
MXNH40907709|5123 de salto de Color de una sola fila de oro Real de 18K,OK,NIHAOJEWELRY,03/01/2025,07/01/2024,DOS FILAS DE BOLITAS CON BOLITAS ROSAS Y ROJAS,ACERO,MUJER,ORO,$17.77,$0.20,$0.08,$0.05,,$18.10,$90.50,120,,$18.10,$50.95,,,,,,,$18.10,-$9.05,-$2.72,-$6.34,$0.00
MXNH40907709|5123 de salto de Color de una sola fila de oro Real de 18K,PENDIENTE,NIHAOJEWELRY,03/01/2025,07/01/2024,DOS FILAS DE BOLITAS CON BOLITAS ROSAS Y ROJAS,ACERO,MUJER,ORO,$17.77,$0.20,$0.08,$0.05,,$18.10,$90.50,120,,$18.10,$50.95,,,,,,,$18.10,-$9.05,-$2.72,-$6.34,$0.00
MXNH37202042|177 de anillo de acero,OK,NIHAOJEWELRY,03/01/2025,07/01/2024,FLORES SEGUIDAS PLATA,ACERO,MUJER,PLATA,$18.20,$0.20,$0.08,$0.05,,$18.53,$92.65,120,,$18.53,$50.74,,,,,,,$18.53,-$9.27,-$2.78,-$6.49,$0.00
MXNH37202042|177 de anillo de acero,OK,NIHAOJEWELRY,03/01/2025,07/01/2024,FLORES SEGUIDAS PLATA,ACERO,MUJER,PLATA,$18.20,$0.20,$0.08,$0.05,,$18.53,$92.65,120,,$18.53,$50.74,,,,,,,$18.53,-$9.27,-$2.78,-$6.49,$0.00
MXNH38862365|Oro|Talla Única|1 Pieza,OK,NIHAOJEWELRY,03/01/2025,07/01/2024,CIRCULO DOBLADO ANCHO CON LINEAS,ACERO,MUJER,ORO,$24.42,$0.20,$0.08,$0.05,,$24.75,$123.75,120,,$24.75,$47.63,,,,,,,$24.75,-$12.38,-$3.71,-$8.66,$0.00
MXNH40758941|Plata|Talla Única,OK,NIHAOJEWELRY,03/01/2025,07/01/2024,ESTRELLA HUNDIDA,ACERO,MUJER,PLATA,$22.33,$0.20,$0.08,$0.05,,$22.66,$113.30,120,,$22.66,$48.67,,,,,,,$22.66,-$11.33,-$3.40,-$7.93,$0.00
MX37194698|JR416-G7|Ajustable,OK,NIHAOJEWELRY,03/01/2025,07/01/2024,OVALO DOBLADO CON PUNTOS,ACERO,MUJER,ORO,$16.99,$0.20,$0.08,$0.05,,$17.32,$86.60,120,,$17.32,$51.34,,,,,,,$17.32,-$8.66,-$2.60,-$6.06,$0.00
MX37194698|JR416-G7|Ajustable,OK,NIHAOJEWELRY,03/01/2025,07/01/2024,OVALO DOBLADO CON PUNTOS,ACERO,MUJER,ORO,$16.99,$0.20,$0.08,$0.05,,$17.32,$86.60,120,,$17.32,$51.34,,,,,,,$17.32,-$8.66,-$2.60,-$6.06,$0.00
MX34892646|J779,OK,NIHAOJEWELRY,03/01/2025,07/01/2024,"CIRCULOS AZUL, BLANCO Y LILA",ACERO,MUJER,ORO,$22.33,$0.20,$0.08,$0.05,,$22.66,$113.30,120,,$22.66,$48.67,,,,18/05/2025,MULTI,120,$22.66,$48.67,$14.60,$34.07,$120.00
MX34892646|J779,OK,NIHAOJEWELRY,03/01/2025,07/01/2024,"CIRCULOS AZUL, BLANCO Y LILA",ACERO,MUJER,ORO,$22.33,$0.20,$0.08,$0.05,,$22.66,$113.30,120,,$22.66,$48.67,,,,,,,$22.66,-$11.33,-$3.40,-$7.93,$0.00
MX37290647|06 oro,OK,NIHAOJEWELRY,03/01/2025,07/01/2024,CIRCULO PLISADO GRANDE,ACERO,MUJER,ORO,$25.97,$0.20,$0.08,$0.05,,$26.30,$131.50,120,,$26.30,$46.85,,,,,,,$26.30,-$13.15,-$3.95,-$9.21,$0.00
MXNH41659187|Taladro de tóner de acero|Apertura ajustable,OK,NIHAOJEWELRY,26/01/2025,28/01/2024,MARIPOSITA CON BRILLANTITOS,ACERO,MUJER,PLATA,$20.73,$0.20,$0.08,$0.05,,$21.06,$105.30,120,,$21.06,$49.47,,,,,,,$21.06,-$10.53,-$3.16,-$7.37,$0.00
MXNH32621822|02,OK,NIHAOJEWELRY,26/01/2025,28/01/2024,BRAZALETE ENREDADO CON PUNTOS DORADOS,ACERO,MUJER,PLATA,$20.00,$0.20,$0.08,$0.05,,$20.33,$101.65,120,,$20.33,$49.84,,,,,,,$20.33,-$10.17,-$3.05,-$7.12,$0.00
MXNH40392132|Plata|Ajustable,OK,NIHAOJEWELRY,26/01/2025,28/01/2024,DOS OVALOS DE LINEAS PUNTIAGUDAS QUE SE ATRAVIESAN,ACERO,MUJER,PLATA,$11.46,$0.20,$0.08,$0.05,,$11.79,$58.95,120,,$11.79,$54.11,,,,,,,$11.79,-$5.90,-$1.77,-$4.13,$0.00
MX37194697|JR416-S7|Ajustable,OK,NIHAOJEWELRY,26/01/2025,28/01/2024,OVALO DOBLADO CON PUNTOS,ACERO,MUJER,PLATA,$11.22,$0.20,$0.08,$0.05,,$11.55,$57.75,150,,$11.55,$69.23,,,,,,,$11.55,-$5.78,-$1.73,-$4.04,$0.00
MX34754518|NB-R2023034,OK,NIHAOJEWELRY,18/02/2025,20/02/2025,CONCHA,ACERO,MUJER,ORO,$23.90,$0.25,$0.08,$0.05,,$24.28,$121.40,130,,$24.28,$52.86,,,,01/05/2025,FARO,120,$24.28,$47.86,$14.36,$33.50,$120.00
MX34754518|NB-R2023034,OK,NIHAOJEWELRY,18/02/2025,20/02/2025,CONCHA,ACERO,MUJER,ORO,$23.90,$0.25,$0.08,$0.05,,$24.28,$121.40,130,,$24.28,$52.86,,,,,,,$24.28,-$12.14,-$3.64,-$8.50,$0.00
MX34754518|NB-R2023034,OK,NIHAOJEWELRY,18/02/2025,20/02/2025,CONCHA,ACERO,MUJER,ORO,$23.90,$0.25,$0.08,$0.05,,$24.28,$121.40,130,,$24.28,$52.86,,,,,,,$24.28,-$12.14,-$3.64,-$8.50,$0.00
MX35908311|JDRW2312006,PENDIENTE,NIHAOJEWELRY,18/02/2025,20/02/2025,ESTRELLAS QUE SE UNEN,ACERO,MUJER,ORO,$23.90,$0.25,$0.08,$0.05,,$24.28,$121.40,130,,$24.28,$52.86,,,,31/05/2025,TAJAMAR,120,$24.28,$47.86,$14.36,$33.50,$120.00
MX34246048|YYR023145,OK,NIHAOJEWELRY,18/02/2025,20/02/2025,OJITO CON BRILLANTITO EN EL CENTRO,ACERO,MUJER,ORO,$17.46,$0.25,$0.08,$0.05,,$17.84,$89.20,130,,$17.84,$56.08,,,,,,,$17.84,-$8.92,-$2.68,-$6.24,$0.00
MXNH31253092|Plata|Ajustable,PENDIENTE,NIHAOJEWELRY,18/02/2025,20/02/2025,CORAZON HUECO,ACERO,MUJER,PLATA,$11.46,$0.25,$0.08,$0.05,,$11.84,$59.20,130,,$11.84,$59.08,,,,,,,$11.84,-$5.92,-$1.78,-$4.14,$0.00
MXNH36811718|Negro|Talla Única|Piezas,OK,NIHAOJEWELRY,18/02/2025,20/02/2025,DOS LINEAS QUE SE UNEN NEGRAS ESMALTADAS,ACERO,MUJER,ORO,$21.95,$0.25,$0.08,$0.05,,$22.33,$111.65,130,,$22.33,$53.84,,,,,,,$22.33,-$11.17,-$3.35,-$7.82,$0.00
MXNH36811718|Negro|Talla Única|Piezas,OK,NIHAOJEWELRY,18/02/2025,20/02/2025,DOS LINEAS QUE SE UNEN NEGRAS ESMALTADAS,ACERO,MUJER,ORO,$21.95,$0.25,$0.08,$0.05,,$22.33,$111.65,130,,$22.33,$53.84,,,,,,,$22.33,-$11.17,-$3.35,-$7.82,$0.00
